file_name,column_name,logical_field,meaning,allowed_values_or_pattern,example_values,notes
responsibility_shielding_cleaned.csv,response_id,participant identifier,Unique Qualtrics response identifier for one participant.,string identifier,"R_610F0ghKouCU2TX, R_37WQ6iKvFzaWAjI, R_6eLiXUpEuyTJw8V, R_51bwmNtuVf0HN3b, R_7h4ktfpxIy0uUO0","Useful for row-level inspection, merging, and traceability; not theoretically meaningful."
responsibility_shielding_cleaned.csv,start_date,survey start time,Timestamp when the participant began the Qualtrics survey.,datetime,"2026-02-20 05:36:00, 2026-02-20 07:05:00, 2026-02-20 07:10:00, 2026-02-20 07:24:00, 2026-02-20 07:52:00",Used for freeze-window filtering and duration calculations.
responsibility_shielding_cleaned.csv,end_date,survey end time,Timestamp when the participant finished the Qualtrics survey.,datetime,"2026-02-20 05:47:00, 2026-02-20 07:22:00, 2026-02-20 07:23:00, 2026-02-20 07:32:00, 2026-02-20 08:03:00",Used for freeze-window filtering and duration calculations.
responsibility_shielding_cleaned.csv,story_condition,story family,Which story family the participant received.,firework | trolley,"firework, trolley",Firework and trolley are structurally matched story families.
responsibility_shielding_cleaned.csv,load_condition,cognitive load condition,Working-memory load manipulation assigned to the participant.,high | low,"low, high",High = 7-digit memory load; Low = 2-digit memory load.
responsibility_shielding_cleaned.csv,cognitive_load_digits_response,digits recall response,The digits string the participant typed during the cognitive-load recall check.,string / numeric text,"63, 842, 8403952, 8420539, 8403529",Raw memory-check response rather than a scored variable.
responsibility_shielding_cleaned.csv,cognitive_load_digits_correct_bool,digits recall accuracy,Whether the participant correctly recalled the assigned high- or low-load digits.,True | False,"True, False",Manipulation-check variable for the cognitive-load task.
responsibility_shielding_cleaned.csv,vignette_condition_order,vignette order string,The randomized order in which the participant encountered the three main vignette conditions.,"Three-condition order string, e.g. CC-CH-DIV","DIV-CH-CC, CH-DIV-CC, CH-CC-DIV, CC-DIV-CH, CC-CH-DIV",Convenient summary of the full order assignment.
responsibility_shielding_cleaned.csv,vignette_condition_position_1,first vignette condition,Which main vignette condition appeared first for that participant.,CC | CH | DIV,"DIV, CH, CC",Used in the confirmatory between-subjects analysis.
responsibility_shielding_cleaned.csv,vignette_condition_position_2,second vignette condition,Which main vignette condition appeared second for that participant.,CC | CH | DIV,"CH, DIV, CC",Used for order-sensitivity analyses.
responsibility_shielding_cleaned.csv,vignette_condition_position_3,third vignette condition,Which main vignette condition appeared third for that participant.,CC | CH | DIV,"CC, DIV, CH",Used for order-sensitivity analyses.
responsibility_shielding_cleaned.csv,first_vignette_distal_blame,first-vignette blameworthiness rating,The participant’s first-vignette rating of the distal agent on blameworthiness.,numeric,"9.0, 6.0, 5.0, 7.0, 8.0",Used in the confirmatory between-subjects analyses.
responsibility_shielding_cleaned.csv,first_vignette_distal_wrong,first-vignette wrongness rating,The participant’s first-vignette rating of the distal agent on wrongness.,numeric,"9.0, 5.0, 7.0, 4.0, 3.0",Used in the confirmatory between-subjects analyses.
responsibility_shielding_cleaned.csv,first_vignette_distal_punish,first-vignette punishment rating,The participant’s first-vignette rating of the distal agent on punishment.,numeric,"15.0, 5.0, 2.0, 20.0, 0.0",Used in the confirmatory between-subjects analyses.
responsibility_shielding_cleaned.csv,distal_blame_ch_minus_cc,within-subject blameworthiness contrast,Participant-level within-subject difference on blameworthiness for the distal agent: CH minus CC.,numeric difference score,"3.0, 0.0, -1.0, 1.0, 2.0",Positive values mean the left condition exceeds CC for that participant.
responsibility_shielding_cleaned.csv,distal_blame_div_minus_cc,within-subject blameworthiness contrast,Participant-level within-subject difference on blameworthiness for the distal agent: DIV minus CC.,numeric difference score,"3.0, 0.0, 1.0, -1.0, -2.0",Positive values mean the left condition exceeds CC for that participant.
responsibility_shielding_cleaned.csv,proximate_blame_cc_minus_ch,within-subject blameworthiness contrast,Participant-level within-subject difference on blameworthiness for the proximate node: CC minus CH.,numeric difference score,"0.0, -3.0, 1.0, -2.0, -4.0",Most often used for the proximate manipulation-check comparison.
responsibility_shielding_cleaned.csv,distal_wrong_ch_minus_cc,within-subject wrongness contrast,Participant-level within-subject difference on wrongness for the distal agent: CH minus CC.,numeric difference score,"2.0, 0.0, -3.0, -2.0, 1.0",Positive values mean the left condition exceeds CC for that participant.
responsibility_shielding_cleaned.csv,distal_wrong_div_minus_cc,within-subject wrongness contrast,Participant-level within-subject difference on wrongness for the distal agent: DIV minus CC.,numeric difference score,"2.0, -2.0, 0.0, 3.0, -1.0",Positive values mean the left condition exceeds CC for that participant.
responsibility_shielding_cleaned.csv,proximate_wrong_cc_minus_ch,within-subject wrongness contrast,Participant-level within-subject difference on wrongness for the proximate node: CC minus CH.,numeric difference score,"0.0, 4.0, -4.0, 6.0, -1.0",Most often used for the proximate manipulation-check comparison.
responsibility_shielding_cleaned.csv,distal_punish_ch_minus_cc,within-subject punishment contrast,Participant-level within-subject difference on punishment for the distal agent: CH minus CC.,numeric difference score,"4.0, 0.0, 5.0, 1.0, 2.0",Positive values mean the left condition exceeds CC for that participant.
responsibility_shielding_cleaned.csv,distal_punish_div_minus_cc,within-subject punishment contrast,Participant-level within-subject difference on punishment for the distal agent: DIV minus CC.,numeric difference score,"4.0, 0.0, -1.0, 1.0, -2.0",Positive values mean the left condition exceeds CC for that participant.
responsibility_shielding_cleaned.csv,proximate_punish_cc_minus_ch,within-subject punishment contrast,Participant-level within-subject difference on punishment for the proximate node: CC minus CH.,numeric difference score,"0.0, -20.0, 1.0, 20.0, -8.0",Most often used for the proximate manipulation-check comparison.
responsibility_shielding_cleaned.csv,distal_blame_min_ch_div_minus_cc,strict shielding contrast on blameworthiness,Participant-level difference between CC and the smaller of CH and DIV on blameworthiness for the distal agent.,numeric difference score,"3.0, 0.0, -1.0, 1.0, -2.0","Implements the stricter MIN(CH, DIV) − CC style comparison."
responsibility_shielding_cleaned.csv,distal_wrong_min_ch_div_minus_cc,strict shielding contrast on wrongness,Participant-level difference between CC and the smaller of CH and DIV on wrongness for the distal agent.,numeric difference score,"2.0, -2.0, -3.0, 0.0, 3.0","Implements the stricter MIN(CH, DIV) − CC style comparison."
responsibility_shielding_cleaned.csv,distal_punish_min_ch_div_minus_cc,strict shielding contrast on punishment,Participant-level difference between CC and the smaller of CH and DIV on punishment for the distal agent.,numeric difference score,"4.0, 0.0, -1.0, 1.0, -2.0","Implements the stricter MIN(CH, DIV) − CC style comparison."
responsibility_shielding_cleaned.csv,twoafc_bill_vs_clark,2AFC interpersonal blame response,Collapsed forced-choice response comparing Bill versus Clark on blame.,Bill > Clark | Bill ≥ Clark | Bill ≤ Clark | Bill < Clark,"Bill ≤ Clark, Bill ≥ Clark, Bill > Clark, Bill < Clark",Combines the initial 2AFC choice with the follow-up roughly-equal probe.
responsibility_shielding_cleaned.csv,twoafc_ch_vs_cc,2AFC CH versus CC response,Collapsed forced-choice response comparing Clark in CH versus Clark in CC.,CH > CC | CH ≥ CC | CH ≤ CC | CH < CC,"CH > CC, CH < CC, CH ≥ CC, CH ≤ CC",Combines the initial 2AFC choice with the follow-up roughly-equal probe.
responsibility_shielding_cleaned.csv,twoafc_div_vs_cc,2AFC DIV versus CC response,Collapsed forced-choice response comparing Clark in DIV versus Clark in CC.,DIV > CC | DIV ≥ CC | DIV ≤ CC | DIV < CC,"DIV ≤ CC, DIV > CC, DIV ≥ CC, DIV < CC",Combines the initial 2AFC choice with the follow-up roughly-equal probe.
responsibility_shielding_cleaned.csv,distal_blame_cc,distal agent blameworthiness rating,Rating of the distal agent on blameworthiness in Choice-Choice (CC; shielded).,numeric,"6.0, 5.0, 7.0, 3.0, 8.0",Raw rating column before contrast construction.
responsibility_shielding_cleaned.csv,distal_blame_ch,distal agent blameworthiness rating,Rating of the distal agent on blameworthiness in Choice-Chance (CH; non-shielded).,numeric,"9.0, 6.0, 5.0, 8.0, 7.0",Raw rating column before contrast construction.
responsibility_shielding_cleaned.csv,distal_blame_div,distal agent blameworthiness rating,Rating of the distal agent on blameworthiness in Division (DIV).,numeric,"9.0, 6.0, 5.0, 7.0, 4.0",Raw rating column before contrast construction.
responsibility_shielding_cleaned.csv,distal_wrong_cc,distal agent wrongness rating,Rating of the distal agent on wrongness in Choice-Choice (CC; shielded).,numeric,"7.0, 9.0, 8.0, 4.0, 3.0",Raw rating column before contrast construction.
